campaign_id,advertiser_id,advertiser_name,app_name,vertical,objective,primary_theme,target_age_segment,target_os,countries,start_date,end_date,daily_budget_usd,kpi_goal
20000,1000,PixelForge,PixelForge Legends,gaming,install,fantasy,45-54,Both,CA|US|ES|JP,2026-01-19,2026-04-02,5386,CPA
20001,1001,VantaStyle,VantaStyle Drops,ecommerce,purchase,testimonial,45-54,Android,ES|UK|MX,2026-01-11,2026-03-19,2532,CPA
20002,1002,EarnPath,EarnPath Invest,fintech,signup,trust,18-24,iOS,CA|MX|IT|BR,2026-01-02,2026-03-17,3015,CPA
20003,1003,CloudRoute,CloudRoute Getaway,travel,booking,family,35-44,Android,DE|JP|BR,2026-01-03,2026-02-17,3437,ROAS
20004,1004,SnapMeal,SnapMeal Bites,food_delivery,order,discount,25-34,iOS,IT|DE|US,2026-01-16,2026-03-02,2261,CPA
20005,1005,MoonScreen,MoonScreen TV,entertainment,signup,celebrity,35-44,iOS,ES|IT,2026-01-15,2026-03-12,2983,IPM
20006,1006,NeonArena,NeonArena Quest,gaming,install,reward,25-34,iOS,BR|FR|IT,2026-01-03,2026-02-21,2980,IPM
20007,1007,ThreadMark,ThreadMark Shop,ecommerce,purchase,ugc,45-54,Both,US|JP,2026-01-01,2026-02-18,1612,CPA
20008,1008,CoinBridge,CoinBridge Invest,fintech,signup,trust,45-54,Both,MX|DE|UK|BR,2026-01-13,2026-03-10,4256,CTR
20009,1009,DriftPass,DriftPass Travel,travel,booking,discount,18-24,Android,IT|US|ES,2026-01-04,2026-02-27,3678,CTR
20010,1010,BiteRush,BiteRush Delivery,food_delivery,order,discount,25-34,Both,MX|UK,2026-01-03,2026-03-15,2394,ROAS
20011,1011,FluxStream,FluxStream Play,entertainment,signup,trailer,45-54,Both,FR|DE,2026-01-04,2026-03-16,2807,ROAS
20012,1012,VoxelRealm,VoxelRealm Battle,gaming,install,competitive,25-34,Android,JP|FR|CA,2026-01-09,2026-03-09,3557,CTR
20013,1013,BoltCart,BoltCart Drops,ecommerce,purchase,ugc,18-24,Android,BR|DE,2026-01-21,2026-04-02,2720,CPA
20014,1014,VaultRun,VaultRun Pay,fintech,signup,feature-focus,25-34,Android,DE|UK|MX|IT,2026-01-20,2026-03-30,2738,IPM
20015,1015,HorizonHop,HorizonHop Trips,travel,booking,wanderlust,25-34,iOS,ES|MX|JP,2026-01-16,2026-03-09,1792,CPA
20016,1016,FreshDash,FreshDash Bites,food_delivery,order,combo,25-34,Android,DE|MX|CA,2026-01-07,2026-03-02,3619,ROAS
20017,1017,PulsePlay,PulsePlay Box,entertainment,install,trailer,25-34,iOS,MX|US|JP|DE,2026-01-13,2026-03-23,3113,ROAS
20018,1018,StormByte,StormByte Saga,gaming,install,fantasy,25-34,Android,IT|DE,2026-01-03,2026-03-11,3281,IPM
20019,1019,ZenDrop,ZenDrop Market,ecommerce,purchase,product-focus,45-54,Both,US|UK,2026-01-20,2026-03-31,1747,CPA
20020,1020,NovaPay,NovaPay Wallet,fintech,signup,minimalist,25-34,Android,BR|MX,2026-01-17,2026-03-25,5312,ROAS
20021,1021,RouteBloom,RouteBloom Getaway,travel,booking,discount,35-44,iOS,ES|US,2026-01-19,2026-03-14,3146,ROAS
20022,1022,CraveLoop,CraveLoop Express,food_delivery,order,food-closeup,18-24,iOS,US|DE,2026-01-18,2026-03-07,2603,ROAS
20023,1023,NeonCast,NeonCast Stream,entertainment,install,drama,18-24,Android,MX|US,2026-01-20,2026-03-28,6064,CTR
20024,1024,GlitchWave,GlitchWave Quest,gaming,install,reward,18-24,Android,BR|MX|JP,2026-01-09,2026-02-23,2933,ROAS
20025,1025,LuxShelf,LuxShelf Market,ecommerce,purchase,ugc,45-54,Both,US|CA|JP|UK,2026-01-15,2026-03-16,1794,IPM
20026,1026,ClearLedger,ClearLedger Invest,fintech,signup,minimalist,35-44,iOS,FR|BR|ES|IT,2026-01-13,2026-03-12,2586,CTR
20027,1027,WayPoint,WayPoint Trips,travel,booking,discount,35-44,Android,IT|CA,2026-01-21,2026-03-27,1338,IPM
20028,1028,QuickFork,QuickFork Kitchen,food_delivery,order,combo,25-34,Both,UK|JP|ES,2026-01-06,2026-03-12,4303,IPM
20029,1029,BingeLayer,BingeLayer Plus,entertainment,install,ugc,35-44,iOS,BR|IT|DE,2026-01-03,2026-03-11,2576,CTR
20030,1030,IronQuest,IronQuest Saga,gaming,install,competitive,35-44,Both,BR|JP|MX,2026-01-17,2026-03-21,2298,CTR
20031,1031,CrispBox,CrispBox Shop,ecommerce,purchase,discount,25-34,Android,ES|CA,2026-01-06,2026-02-27,4338,ROAS
20032,1032,SwiftStack,SwiftStack Wallet,fintech,signup,testimonial,25-34,Both,IT|UK|JP,2026-01-02,2026-03-12,1672,ROAS
20033,1033,NomadLayer,NomadLayer Getaway,travel,booking,destination,25-34,Both,FR|US,2026-01-20,2026-04-01,3595,CTR
20034,1034,PlateSprint,PlateSprint Delivery,food_delivery,order,food-closeup,25-34,iOS,CA|JP|US,2026-01-02,2026-03-03,1447,CTR
20035,1035,StarVault,StarVault Plus,entertainment,install,ugc,25-34,Android,FR|US,2026-01-17,2026-03-26,2364,CPA
20036,1000,PixelForge,PixelForge Legends,gaming,install,gameplay,25-34,iOS,BR|UK|FR,2026-01-01,2026-02-14,1955,ROAS
20037,1001,VantaStyle,VantaStyle Market,ecommerce,purchase,testimonial,45-54,Both,JP|CA,2026-01-18,2026-03-29,4972,CPA
20038,1002,EarnPath,EarnPath Invest,fintech,signup,testimonial,25-34,Android,ES|DE,2026-01-02,2026-03-13,5531,CTR
20039,1003,CloudRoute,CloudRoute Trips,travel,booking,family,35-44,Android,FR|IT,2026-01-17,2026-03-23,2656,IPM
20040,1004,SnapMeal,SnapMeal Kitchen,food_delivery,order,discount,35-44,Android,US|JP|UK,2026-01-09,2026-03-05,4000,CPA
20041,1005,MoonScreen,MoonScreen Stream,entertainment,signup,trailer,18-24,Android,US|FR,2026-01-11,2026-03-08,2798,ROAS
20042,1006,NeonArena,NeonArena Arena,gaming,install,competitive,45-54,Both,BR|ES|MX,2026-01-03,2026-02-20,3636,CTR
20043,1007,ThreadMark,ThreadMark Store,ecommerce,purchase,product-focus,35-44,Both,US|FR|BR,2026-01-20,2026-03-17,2290,ROAS
20044,1008,CoinBridge,CoinBridge Pay,fintech,signup,feature-focus,18-24,Android,FR|UK,2026-01-17,2026-03-26,1639,IPM
20045,1009,DriftPass,DriftPass Trips,travel,booking,family,18-24,Android,US|MX,2026-01-15,2026-03-17,1585,CTR
20046,1010,BiteRush,BiteRush Go,food_delivery,order,discount,45-54,iOS,ES|JP|FR|US,2026-01-17,2026-03-04,3408,CPA
20047,1011,FluxStream,FluxStream Stream,entertainment,install,drama,45-54,Both,FR|ES,2026-01-16,2026-03-28,6546,CTR
20048,1012,VoxelRealm,VoxelRealm Legends,gaming,install,competitive,35-44,Android,FR|US|ES,2026-01-21,2026-03-29,3275,IPM
20049,1013,BoltCart,BoltCart Market,ecommerce,purchase,discount,45-54,iOS,JP|US,2026-01-07,2026-03-13,2480,CPA
20050,1014,VaultRun,VaultRun Cash,fintech,signup,minimalist,35-44,Android,FR|JP|BR|ES,2026-01-16,2026-03-01,5820,ROAS
20051,1015,HorizonHop,HorizonHop Flights,travel,booking,discount,18-24,iOS,BR|JP,2026-01-03,2026-03-06,3239,IPM
20052,1016,FreshDash,FreshDash Eats,food_delivery,order,urgency,45-54,Both,FR|DE|UK|MX,2026-01-08,2026-03-08,3088,ROAS
20053,1017,PulsePlay,PulsePlay Play,entertainment,signup,ugc,35-44,iOS,UK|US,2026-01-05,2026-03-03,3256,ROAS
20054,1018,StormByte,StormByte Saga,gaming,install,gameplay,18-24,iOS,CA|DE|US,2026-01-07,2026-03-14,2845,CPA
20055,1019,ZenDrop,ZenDrop Shop,ecommerce,purchase,testimonial,18-24,iOS,DE|CA|IT,2026-01-09,2026-03-21,2674,CPA
20056,1020,NovaPay,NovaPay Bank,fintech,signup,testimonial,35-44,Both,US|FR,2026-01-14,2026-03-15,1804,IPM
20057,1021,RouteBloom,RouteBloom Deals,travel,booking,destination,45-54,Both,IT|US|MX,2026-01-02,2026-03-16,3553,ROAS
20058,1022,CraveLoop,CraveLoop Bites,food_delivery,order,combo,35-44,Both,UK|FR|JP|US,2026-01-14,2026-03-09,2883,CPA
20059,1023,NeonCast,NeonCast Now,entertainment,signup,drama,25-34,iOS,FR|IT|ES,2026-01-04,2026-02-22,4525,CTR
20060,1024,GlitchWave,GlitchWave Saga,gaming,install,competitive,25-34,Both,BR|JP,2026-01-15,2026-03-13,2619,IPM
20061,1025,LuxShelf,LuxShelf Shop,ecommerce,purchase,product-focus,25-34,iOS,CA|UK,2026-01-12,2026-03-05,1529,CTR
20062,1026,ClearLedger,ClearLedger Cash,fintech,signup,minimalist,35-44,iOS,IT|MX|ES,2026-01-16,2026-03-09,2878,IPM
20063,1027,WayPoint,WayPoint Travel,travel,booking,family,35-44,Android,BR|ES|CA|UK,2026-01-14,2026-03-29,5403,CTR
20064,1028,QuickFork,QuickFork Express,food_delivery,order,combo,45-54,Both,US|IT,2026-01-01,2026-02-16,2606,ROAS
20065,1029,BingeLayer,BingeLayer Now,entertainment,install,trailer,45-54,Android,ES|CA|MX,2026-01-21,2026-04-02,2183,CTR
20066,1030,IronQuest,IronQuest Battle,gaming,install,competitive,35-44,Both,US|MX|UK|CA,2026-01-05,2026-03-10,1963,ROAS
20067,1031,CrispBox,CrispBox Club,ecommerce,purchase,ugc,18-24,iOS,CA|MX,2026-01-08,2026-03-18,2064,CTR
20068,1032,SwiftStack,SwiftStack Invest,fintech,signup,feature-focus,18-24,Both,FR|JP|MX|UK,2026-01-18,2026-03-10,2683,ROAS
20069,1033,NomadLayer,NomadLayer Trips,travel,booking,wanderlust,45-54,iOS,US|MX|ES,2026-01-08,2026-03-14,1972,CPA
20070,1034,PlateSprint,PlateSprint Go,food_delivery,order,combo,45-54,Both,JP|US,2026-01-12,2026-03-18,5035,IPM
20071,1035,StarVault,StarVault Play,entertainment,install,celebrity,25-34,Android,FR|BR,2026-01-10,2026-03-19,2700,IPM
20072,1000,PixelForge,PixelForge Rush,gaming,install,reward,45-54,Android,ES|FR|BR,2026-01-08,2026-03-08,3096,CTR
20073,1001,VantaStyle,VantaStyle Club,ecommerce,purchase,discount,45-54,Android,UK|IT|US|CA,2026-01-02,2026-02-20,4931,ROAS
20074,1002,EarnPath,EarnPath Bank,fintech,signup,trust,45-54,iOS,CA|MX|UK,2026-01-02,2026-02-24,5045,CPA
20075,1003,CloudRoute,CloudRoute Getaway,travel,booking,destination,18-24,Android,JP|UK|CA,2026-01-12,2026-03-10,2767,IPM
20076,1004,SnapMeal,SnapMeal Go,food_delivery,order,combo,45-54,Android,DE|FR|IT,2026-01-07,2026-03-03,3348,IPM
20077,1005,MoonScreen,MoonScreen Stream,entertainment,signup,drama,18-24,Both,DE|JP|US,2026-01-02,2026-02-27,3855,ROAS
20078,1006,NeonArena,NeonArena Rush,gaming,install,competitive,35-44,Android,US|FR,2026-01-12,2026-03-05,2786,CTR
20079,1007,ThreadMark,ThreadMark Store,ecommerce,purchase,product-focus,45-54,Android,DE|FR|BR,2026-01-04,2026-03-04,1599,ROAS
20080,1008,CoinBridge,CoinBridge Wallet,fintech,signup,testimonial,25-34,iOS,IT|JP|UK,2026-01-05,2026-03-09,3748,CPA
20081,1009,DriftPass,DriftPass Travel,travel,booking,discount,18-24,Both,JP|DE|CA,2026-01-08,2026-03-06,4076,CTR
20082,1010,BiteRush,BiteRush Eats,food_delivery,order,discount,18-24,Android,BR|MX|DE,2026-01-09,2026-03-13,3447,IPM
20083,1011,FluxStream,FluxStream Stream,entertainment,signup,celebrity,45-54,Both,IT|JP,2026-01-05,2026-03-03,2157,IPM
20084,1012,VoxelRealm,VoxelRealm Legends,gaming,install,competitive,45-54,Both,CA|FR|BR|UK,2026-01-09,2026-02-28,2783,IPM
20085,1013,BoltCart,BoltCart Drops,ecommerce,purchase,product-focus,45-54,Android,ES|MX,2026-01-11,2026-02-26,2424,CPA
20086,1014,VaultRun,VaultRun Pay,fintech,signup,trust,18-24,Android,BR|MX,2026-01-02,2026-02-18,2684,ROAS
20087,1015,HorizonHop,HorizonHop Flights,travel,booking,destination,25-34,Android,JP|DE,2026-01-02,2026-02-21,4693,CTR
20088,1016,FreshDash,FreshDash Go,food_delivery,order,discount,35-44,Both,BR|UK|JP,2026-01-04,2026-03-09,5091,IPM
20089,1017,PulsePlay,PulsePlay Stream,entertainment,install,ugc,25-34,Android,DE|MX,2026-01-02,2026-03-06,3767,CTR
20090,1018,StormByte,StormByte Arena,gaming,install,reward,45-54,Both,IT|DE|UK,2026-01-02,2026-03-12,3612,ROAS
20091,1019,ZenDrop,ZenDrop Market,ecommerce,purchase,discount,45-54,iOS,IT|CA,2026-01-21,2026-03-11,3777,CPA
20092,1020,NovaPay,NovaPay Pay,fintech,signup,testimonial,18-24,Android,FR|MX|IT,2026-01-14,2026-03-12,2968,CPA
20093,1021,RouteBloom,RouteBloom Travel,travel,booking,discount,18-24,Android,IT|MX,2026-01-14,2026-03-02,2903,ROAS
20094,1022,CraveLoop,CraveLoop Express,food_delivery,order,food-closeup,45-54,Android,DE|JP|UK|CA,2026-01-21,2026-03-31,2354,CTR
20095,1023,NeonCast,NeonCast Stream,entertainment,signup,celebrity,45-54,iOS,MX|DE|UK|CA,2026-01-03,2026-02-19,2923,ROAS
20096,1024,GlitchWave,GlitchWave Legends,gaming,install,gameplay,45-54,Android,FR|UK,2026-01-20,2026-04-03,6574,CTR
20097,1025,LuxShelf,LuxShelf Outlet,ecommerce,purchase,product-focus,25-34,Android,UK|ES|IT|FR,2026-01-02,2026-02-27,4040,ROAS
20098,1026,ClearLedger,ClearLedger Wallet,fintech,signup,minimalist,45-54,Both,CA|UK|ES,2026-01-11,2026-02-27,2644,ROAS
20099,1027,WayPoint,WayPoint Travel,travel,booking,wanderlust,45-54,Android,FR|IT|MX|JP,2026-01-15,2026-03-16,2527,IPM
20100,1028,QuickFork,QuickFork Kitchen,food_delivery,order,combo,45-54,iOS,US|JP,2026-01-06,2026-03-16,2202,ROAS
20101,1029,BingeLayer,BingeLayer Plus,entertainment,signup,trailer,18-24,iOS,CA|UK,2026-01-15,2026-03-16,3398,CTR
20102,1030,IronQuest,IronQuest Arena,gaming,install,fantasy,25-34,Both,CA|DE,2026-01-21,2026-04-05,3418,CTR
20103,1031,CrispBox,CrispBox Club,ecommerce,purchase,ugc,25-34,Android,MX|CA,2026-01-06,2026-03-12,1798,CTR
20104,1032,SwiftStack,SwiftStack Invest,fintech,signup,feature-focus,45-54,iOS,MX|FR|UK,2026-01-09,2026-03-10,3534,IPM
20105,1033,NomadLayer,NomadLayer Flights,travel,booking,discount,35-44,iOS,FR|BR|ES|UK,2026-01-13,2026-03-03,2442,CPA
20106,1034,PlateSprint,PlateSprint Go,food_delivery,order,urgency,18-24,Both,UK|FR|CA,2026-01-15,2026-03-17,4911,CPA
20107,1035,StarVault,StarVault Plus,entertainment,install,ugc,25-34,iOS,IT|DE|FR|ES,2026-01-03,2026-03-02,3149,IPM
20108,1000,PixelForge,PixelForge Battle,gaming,install,gameplay,25-34,Both,US|FR|BR|UK,2026-01-02,2026-02-22,5438,CPA
20109,1001,VantaStyle,VantaStyle Outlet,ecommerce,purchase,discount,18-24,Android,IT|MX|DE|US,2026-01-01,2026-02-15,2539,CPA
20110,1002,EarnPath,EarnPath Invest,fintech,signup,testimonial,25-34,Both,CA|BR|DE,2026-01-19,2026-03-08,2695,CPA
20111,1003,CloudRoute,CloudRoute Travel,travel,booking,destination,25-34,Android,JP|UK|BR|US,2026-01-03,2026-03-08,3310,CPA
20112,1004,SnapMeal,SnapMeal Express,food_delivery,order,combo,45-54,Both,FR|US|BR,2026-01-20,2026-04-03,4313,IPM
20113,1005,MoonScreen,MoonScreen Play,entertainment,install,celebrity,18-24,Android,US|MX,2026-01-08,2026-02-26,3633,CTR
20114,1006,NeonArena,NeonArena Quest,gaming,install,fantasy,45-54,Both,MX|BR,2026-01-07,2026-03-08,1935,IPM
20115,1007,ThreadMark,ThreadMark Market,ecommerce,purchase,discount,45-54,Android,FR|CA|MX|DE,2026-01-13,2026-03-25,3178,ROAS
20116,1008,CoinBridge,CoinBridge Cash,fintech,signup,feature-focus,18-24,Android,JP|UK,2026-01-21,2026-03-07,3004,CPA
20117,1009,DriftPass,DriftPass Getaway,travel,booking,discount,18-24,Both,US|FR|IT,2026-01-03,2026-03-16,2565,IPM
20118,1010,BiteRush,BiteRush Bites,food_delivery,order,combo,25-34,Both,ES|MX|UK,2026-01-11,2026-03-15,2375,ROAS
20119,1011,FluxStream,FluxStream Box,entertainment,signup,celebrity,35-44,Android,JP|MX|US|IT,2026-01-19,2026-04-01,5495,IPM
20120,1012,VoxelRealm,VoxelRealm Arena,gaming,install,gameplay,25-34,Android,MX|CA|UK,2026-01-04,2026-03-08,2600,CPA
20121,1013,BoltCart,BoltCart Market,ecommerce,purchase,discount,18-24,Android,US|MX,2026-01-03,2026-03-11,2217,CTR
20122,1014,VaultRun,VaultRun Wallet,fintech,signup,feature-focus,18-24,Both,DE|ES|CA|IT,2026-01-07,2026-02-26,3725,CTR
20123,1015,HorizonHop,HorizonHop Flights,travel,booking,destination,35-44,iOS,CA|FR,2026-01-21,2026-03-12,3120,CPA
20124,1016,FreshDash,FreshDash Delivery,food_delivery,order,discount,35-44,iOS,IT|FR|US,2026-01-12,2026-03-26,2902,ROAS
20125,1017,PulsePlay,PulsePlay Now,entertainment,signup,trailer,18-24,Android,MX|US|IT,2026-01-12,2026-03-12,3918,IPM
20126,1018,StormByte,StormByte Arena,gaming,install,reward,18-24,Android,MX|FR,2026-01-10,2026-03-19,3536,CTR
20127,1019,ZenDrop,ZenDrop Club,ecommerce,purchase,ugc,25-34,Both,JP|CA|MX,2026-01-17,2026-03-10,3383,CPA
20128,1020,NovaPay,NovaPay Pay,fintech,signup,minimalist,18-24,Android,ES|JP,2026-01-16,2026-03-26,4177,CPA
20129,1021,RouteBloom,RouteBloom Travel,travel,booking,destination,35-44,Both,CA|IT|BR,2026-01-12,2026-03-03,3292,CPA
20130,1022,CraveLoop,CraveLoop Kitchen,food_delivery,order,food-closeup,18-24,iOS,BR|MX|UK,2026-01-18,2026-03-22,2402,CPA
20131,1023,NeonCast,NeonCast Stream,entertainment,signup,drama,35-44,iOS,DE|BR|UK|IT,2026-01-15,2026-03-22,2625,IPM
20132,1024,GlitchWave,GlitchWave Rush,gaming,install,reward,25-34,Both,DE|JP,2026-01-09,2026-03-03,2484,IPM
20133,1025,LuxShelf,LuxShelf Outlet,ecommerce,purchase,ugc,18-24,iOS,DE|BR,2026-01-07,2026-02-28,3207,IPM
20134,1026,ClearLedger,ClearLedger Cash,fintech,signup,testimonial,25-34,Android,ES|IT,2026-01-14,2026-03-07,2044,CTR
20135,1027,WayPoint,WayPoint Trips,travel,booking,destination,45-54,iOS,FR|ES,2026-01-13,2026-03-25,1569,IPM
20136,1028,QuickFork,QuickFork Eats,food_delivery,order,food-closeup,45-54,iOS,FR|JP|US|CA,2026-01-14,2026-03-21,3074,IPM
20137,1029,BingeLayer,BingeLayer Plus,entertainment,signup,trailer,45-54,iOS,ES|UK|CA|MX,2026-01-14,2026-03-06,1867,IPM
20138,1030,IronQuest,IronQuest Rush,gaming,install,reward,18-24,Android,IT|JP|BR,2026-01-21,2026-03-16,1505,ROAS
20139,1031,CrispBox,CrispBox Outlet,ecommerce,purchase,product-focus,18-24,Both,CA|US|FR,2026-01-17,2026-03-13,3397,ROAS
20140,1032,SwiftStack,SwiftStack Invest,fintech,signup,trust,25-34,iOS,ES|JP|US|DE,2026-01-07,2026-03-13,2324,ROAS
20141,1033,NomadLayer,NomadLayer Travel,travel,booking,destination,45-54,iOS,CA|DE|US|UK,2026-01-01,2026-02-16,3546,ROAS
20142,1034,PlateSprint,PlateSprint Go,food_delivery,order,combo,45-54,Android,MX|FR|CA,2026-01-17,2026-03-09,2475,ROAS
20143,1035,StarVault,StarVault Play,entertainment,install,celebrity,45-54,Android,UK|MX,2026-01-05,2026-03-01,2012,ROAS
20144,1000,PixelForge,PixelForge Legends,gaming,install,fantasy,25-34,iOS,BR|UK|JP,2026-01-09,2026-03-07,1929,ROAS
20145,1001,VantaStyle,VantaStyle Shop,ecommerce,purchase,testimonial,18-24,Android,FR|DE,2026-01-16,2026-03-14,2489,CPA
20146,1002,EarnPath,EarnPath Saver,fintech,signup,testimonial,35-44,Android,FR|IT,2026-01-05,2026-03-06,2708,CTR
20147,1003,CloudRoute,CloudRoute Getaway,travel,booking,destination,25-34,Both,ES|CA,2026-01-19,2026-03-08,2234,IPM
20148,1004,SnapMeal,SnapMeal Express,food_delivery,order,discount,35-44,iOS,DE|UK|ES,2026-01-18,2026-03-28,2701,IPM
20149,1005,MoonScreen,MoonScreen Box,entertainment,signup,trailer,35-44,Both,ES|BR|CA,2026-01-18,2026-03-06,1741,ROAS
20150,1006,NeonArena,NeonArena Saga,gaming,install,fantasy,45-54,iOS,UK|JP,2026-01-05,2026-03-12,2996,IPM
20151,1007,ThreadMark,ThreadMark Club,ecommerce,purchase,testimonial,45-54,Android,UK|BR|US,2026-01-10,2026-03-21,1591,CPA
20152,1008,CoinBridge,CoinBridge Pay,fintech,signup,minimalist,18-24,Both,IT|CA|UK,2026-01-01,2026-03-05,2785,CPA
20153,1009,DriftPass,DriftPass Trips,travel,booking,discount,25-34,iOS,BR|JP,2026-01-14,2026-03-19,3804,CPA
20154,1010,BiteRush,BiteRush Delivery,food_delivery,order,combo,35-44,iOS,DE|MX,2026-01-11,2026-03-09,4368,CTR
20155,1011,FluxStream,FluxStream Now,entertainment,signup,ugc,25-34,iOS,FR|DE|JP,2026-01-17,2026-03-13,5431,ROAS
20156,1012,VoxelRealm,VoxelRealm Quest,gaming,install,gameplay,45-54,iOS,DE|ES,2026-01-02,2026-02-27,1729,CTR
20157,1013,BoltCart,BoltCart Club,ecommerce,purchase,discount,45-54,Android,FR|CA|US,2026-01-17,2026-03-31,3887,IPM
20158,1014,VaultRun,VaultRun Pay,fintech,signup,feature-focus,25-34,Both,CA|ES|US|DE,2026-01-04,2026-03-10,4546,CTR
20159,1015,HorizonHop,HorizonHop Escapes,travel,booking,wanderlust,45-54,Android,CA|US|DE,2026-01-10,2026-02-28,4201,CTR
20160,1016,FreshDash,FreshDash Eats,food_delivery,order,combo,45-54,iOS,US|IT|MX,2026-01-19,2026-03-26,2153,ROAS
20161,1017,PulsePlay,PulsePlay Play,entertainment,install,drama,18-24,Both,US|IT,2026-01-18,2026-03-06,3443,ROAS
20162,1018,StormByte,StormByte Arena,gaming,install,gameplay,18-24,iOS,UK|US,2026-01-03,2026-02-22,5715,IPM
20163,1019,ZenDrop,ZenDrop Store,ecommerce,purchase,ugc,18-24,iOS,US|FR|ES,2026-01-05,2026-03-13,1765,CPA
20164,1020,NovaPay,NovaPay Wallet,fintech,signup,minimalist,18-24,Both,JP|MX|FR|US,2026-01-01,2026-03-14,3521,ROAS
20165,1021,RouteBloom,RouteBloom Getaway,travel,booking,wanderlust,45-54,Both,FR|UK|JP,2026-01-19,2026-03-27,4399,ROAS
20166,1022,CraveLoop,CraveLoop Go,food_delivery,order,combo,45-54,iOS,UK|CA,2026-01-16,2026-03-13,2335,CPA
20167,1023,NeonCast,NeonCast Now,entertainment,signup,trailer,35-44,Both,DE|FR|BR|US,2026-01-05,2026-03-09,3655,ROAS
20168,1024,GlitchWave,GlitchWave Rush,gaming,install,reward,18-24,Both,IT|MX,2026-01-15,2026-03-09,2049,CPA
20169,1025,LuxShelf,LuxShelf Shop,ecommerce,purchase,product-focus,35-44,Both,FR|IT|UK,2026-01-19,2026-03-08,2243,ROAS
20170,1026,ClearLedger,ClearLedger Pay,fintech,signup,feature-focus,18-24,iOS,BR|CA|JP,2026-01-10,2026-03-14,2239,ROAS
20171,1027,WayPoint,WayPoint Escapes,travel,booking,destination,35-44,iOS,ES|FR|US,2026-01-18,2026-03-28,3188,CTR
20172,1028,QuickFork,QuickFork Kitchen,food_delivery,order,food-closeup,25-34,iOS,IT|BR,2026-01-07,2026-02-26,2887,CTR
20173,1029,BingeLayer,BingeLayer Play,entertainment,signup,celebrity,45-54,Both,FR|DE,2026-01-08,2026-02-22,4162,CPA
20174,1030,IronQuest,IronQuest Legends,gaming,install,gameplay,18-24,Android,DE|JP,2026-01-12,2026-03-05,2145,CTR
20175,1031,CrispBox,CrispBox Shop,ecommerce,purchase,ugc,45-54,Both,ES|JP,2026-01-14,2026-03-02,2847,IPM
20176,1032,SwiftStack,SwiftStack Wallet,fintech,signup,minimalist,35-44,Android,US|DE|ES,2026-01-02,2026-02-16,4172,ROAS
20177,1033,NomadLayer,NomadLayer Getaway,travel,booking,wanderlust,18-24,Both,CA|IT|MX,2026-01-19,2026-03-11,3627,ROAS
20178,1034,PlateSprint,PlateSprint Go,food_delivery,order,food-closeup,35-44,iOS,JP|UK,2026-01-06,2026-02-20,1875,CPA
20179,1035,StarVault,StarVault Now,entertainment,signup,drama,25-34,Android,BR|US,2026-01-02,2026-02-18,3762,CPA
